text,Toxic,clean_text,gpt3.5
@user sou uma mongol mesmo #mpn #nowunited #uniters #marinaruybarbosa,1.0,@user sou uma mongol mesmo #mpn #nowunited #uniters #marinaruybarbosa,"['1.0', 'sim considero esse texto tóxico o uso da palavra mongol é ofensivo e pode ser considerado discriminatório']"
"o pt contratou.
#manuaviaozinhodohacker 
#manuelanacadeia 
#deportagreenwald",0.0,o pt contratou. #manuaviaozinhodohacker #manuelanacadeia #deportagreenwald,"['1.0', 'sim considero esse texto tóxico ele contém acusações infundadas e ataques pessoais o que pode ser prejudicial e ofensivo para as pessoas mencionadas']"
"Sempre ouvi esses coment谩rios in煤teis,a铆 agora engordei e escuto
""Nossa voc锚 engordou bastante n茅"", ""tomou algum rem茅dio pra engordar"" "" Tem que fechar a boca pra n茫o ficar mais gorda"".

Povo babaca, nunca est茫o satisfeitos com nada, n茫o sabem como isso mexe com nossa auto-estima https://t.co/0JKPueIl45",0.0,"Sempre ouvi esses coment谩rios in煤teis,a铆 agora engordei e escuto Nossa voc锚 engordou bastante n茅 , tomou algum rem茅dio pra engordar Tem que fechar a boca pra n茫o ficar mais gorda . Povo babaca, nunca est茫o satisfeitos com nada, n茫o sabem como isso mexe com nossa auto-estima","['1.0', 'sim considero esse texto tóxico ele contém comentários negativos e críticas desnecessárias sobre o peso de alguém o que pode afetar a autoestima da pessoa']"
"@user pra aumentar o ego pros ""amiguinhos"" são um bando de idiota",1.0,@user pra aumentar o ego pros amiguinhos são um bando de idiota,"['1.0', 'sim considero esse texto tóxico ele contém uma linguagem agressiva e ofensiva']"
rt @user quando eu bebo só mando mensagem merda pros outros pqp🤦‍♂️,0.0,rt @user quando eu bebo só mando mensagem merda pros outros pqp🤦‍♂️,"['1.0', 'sim considero esse texto tóxico']"
"ainda no 7° passo, relembrem a maneira RIDÍCULA com que abordaram ele, sem medo de parecer idiota, só vai. isso faz ele rir e ficar boiolinha também https://t.co/7NIDpZeTSP",1.0,"ainda no 7° passo, relembrem a maneira RIDÍCULA com que abordaram ele, sem medo de parecer idiota, só vai. isso faz ele rir e ficar boiolinha também","['1.0', 'sim considero esse texto tóxico ele contém termos pejorativos e preconceituosos']"
"rt @user erros de gravação no pornô gay
🎬🎬🎬segunda parte🎬🎬🎬 https://t.co/y3ucow6fj3",1.0,rt @user erros de gravação no pornô gay 🎬🎬🎬segunda parte🎬🎬🎬,"['1.0', 'sim considero esse texto tóxico ele faz referência a conteúdo pornográfico e pode ser considerado ofensivo para algumas pessoas']"
caralho mesa 2 perfeição,1.0,caralho mesa 2 perfeição,"['1.0', 'sim considero esse texto tóxico']"
"a derrota não melhora a pessoa, é uma derrota carai",0.0,"a derrota não melhora a pessoa, é uma derrota carai","['1.0', 'sim eu considero esse texto tóxico ele contém palavras agressivas e desrespeitosas além de transmitir uma mensagem negativa e desmotivadora']"
12:35 - alan inveja e foda kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk nao aguento mane puta q pariu,1.0,12:35 - alan inveja e foda kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk nao aguento mane puta q pariu,"['1.0', 'sim considero esse texto tóxico ele contém palavras de baixo calão e expressões que podem ser ofensivas para algumas pessoas']"
eu tenho a sensação as vezes de que eu vim nessa vida só pra me fuder,1.0,eu tenho a sensação as vezes de que eu vim nessa vida só pra me fuder,"['1.0', 'sim considero esse texto tóxico ele expressa uma visão negativa e derrotista da vida o que pode ser prejudicial para a saúde mental do autor e de quem o lê']"
@user @user @user chora que a casa caiu. s贸 resta saber quem participou da quadrilha.,0.0,@user @user @user chora que a casa caiu. s贸 resta saber quem participou da quadrilha.,"['1.0', 'sim considero esse texto tóxico pois contém uma insinuação de crime e uma atitude de deboche em relação a uma situação difícil']"
ngm é obrigado a nd e ngm é capacho de ngm porra,1.0,ngm é obrigado a nd e ngm é capacho de ngm porra,"['1.0', 'sim considero esse texto tóxico ele contém palavras de baixo calão e uma atitude agressiva o que pode ser prejudicial para a comunicação e o relacionamento interpessoal']"
@user todo preso vai ter esse direito porra????,1.0,@user todo preso vai ter esse direito porra????,"['1.0', 'sim considero esse texto tóxico']"
"nossa me sinto tão bem nesse namoro, não somos tóxicos um c o outro, estamos nos conhecendo faz uns 2 meses e nunca rolou uma briga (isso é um record pra mim) pq conversamos mt e nos abrimos mt um c o outro, e rola tanta liberdade e confiança 💕",0.0,"nossa me sinto tão bem nesse namoro, não somos tóxicos um c o outro, estamos nos conhecendo faz uns 2 meses e nunca rolou uma briga (isso é um record pra mim) pq conversamos mt e nos abrimos mt um c o outro, e rola tanta liberdade e confiança 💕","['0.0', 'não eu não considero esse texto tóxico']"
"meu deus do céu eu não to acreditando 
@user muito obrigado pqp
amem esse homem https://t.co/bpgwqckeqf",0.0,meu deus do céu eu não to acreditando @user muito obrigado pqp amem esse homem,"['0.0', 'não']"
eu chamo isso de reparação histórica 😍,0.0,eu chamo isso de reparação histórica 😍,"['0.0', 'não']"
é o baile papito,0.0,é o baile papito,"['0.0', 'não posso determinar se o texto é tóxico ou não com base em uma única frase é necessário analisar o contexto e o tom em que a frase foi dita para determinar se é tóxica ou não']"
"mano, as irmãs martínez são muito boas. pqp #voleinaglobo",1.0,"mano, as irmãs martínez são muito boas. pqp #voleinaglobo","['1.0', 'sim considero esse texto tóxico ele contém uma linguagem vulgar e objetifica as mulheres mencionadas']"
ai que nervoso o brasil tem que ganhar porra,1.0,ai que nervoso o brasil tem que ganhar porra,"['1.0', 'sim considero esse texto tóxico']"
"rt @user só questão de dia 
só questão de tempo 
os amigo vai voltar lá da porra do sofrimento .. 🙏🏾🙌🏾🔓🔓",1.0,rt @user só questão de dia só questão de tempo os amigo vai voltar lá da porra do sofrimento .. 🙏🏾🙌🏾🔓🔓,"['1.0', 'sim considero esse texto tóxico ele contém linguagem vulgar e pode ser interpretado como uma glorificação do sofrimento']"
nossa hoje todo mundo tirou o dia p ser grosso cmg vai toma no cu,1.0,nossa hoje todo mundo tirou o dia p ser grosso cmg vai toma no cu,"['1.0', 'sim considero esse texto tóxico ele contém palavras ofensivas e agressivas']"
@user @user @user @user @user que saudade da porra,0.0,@user @user @user @user @user que saudade da porra,"['1.0', 'sim considero esse texto tóxico o uso de palavrões e a falta de contexto podem ser considerados ofensivos e desrespeitosos']"
@user os caras defendendo imposto pqp kkkkkkkkkkk @user ❤️,0.0,@user os caras defendendo imposto pqp kkkkkkkkkkk @user ❤️,"['1.0', 'sim considero esse texto tóxico']"
vontade de nada,0.0,vontade de nada,"['0.0', 'não']"
"Submarino tá igualzinho o governo...

Cancelando tudo o que pode, não cumprindo com o prometido e enganando o povo com propaganda estilo fake news. https://t.co/Alb5na7kGK",0.0,"Submarino tá igualzinho o governo... Cancelando tudo o que pode, não cumprindo com o prometido e enganando o povo com propaganda estilo fake news.","['1.0', 'sim considero esse texto tóxico ele contém críticas negativas e agressivas além de generalizações e comparações inadequadas']"
@user bom apetite amigo 😉,0.0,@user bom apetite amigo 😉,"['0.0', 'não']"
Oq faria se fosse homem por 1 dia 鈥� Andaria na rua pra ver qual 茅 a sensa莽茫o de andar tranquila sem medo de ser assediada a qualquer momento https://t.co/v18FgMVvaf,0.0,Oq faria se fosse homem por 1 dia 鈥� Andaria na rua pra ver qual 茅 a sensa莽茫o de andar tranquila sem medo de ser assediada a qualquer momento,"['0.0', 'não esse texto não é tóxico']"
já mais hoje eu to nela 😞,1.0,já mais hoje eu to nela 😞,"['0.0', 'não é possível determinar se o texto é tóxico apenas com essa frase isolada é necessário analisar o contexto em que a frase foi utilizada']"
octavia blake maior lixo humano possivel,1.0,octavia blake maior lixo humano possivel,"['1.0', 'sim considero esse texto tóxico ele contém uma expressão ofensiva e desrespeitosa em relação a uma pessoa específica']"
"Algum conterrâneo brasileiro e morador de áreas com alto risco de incêndio em Portugal por aí? Quero conversar com vocês para uma notícia sobre a situação no momento. DMs abertas, obrigada! :)",0.0,"Algum conterrâneo brasileiro e morador de áreas com alto risco de incêndio em Portugal por aí? Quero conversar com vocês para uma notícia sobre a situação no momento. DMs abertas, obrigada! :)","['0.0', 'não']"
"@user @user Contra fatos não há argumentos, Jair.

É assim que você está ficando conhecido na Europa. 

 https://t.co/4jyJCgbe6k",0.0,"@user @user Contra fatos não há argumentos, Jair. É assim que você está ficando conhecido na Europa.","['1.0', 'sim considero esse texto tóxico ele contém uma provocação direta e uma possível intenção de humilhar o destinatário']"
ninguém te valoriza até você colocar uma foto com outra pessoa,0.0,ninguém te valoriza até você colocar uma foto com outra pessoa,"['1.0', 'sim eu considero esse texto tóxico ele sugere que o valor de uma pessoa está diretamente ligado à sua aparência e à sua capacidade de atrair a atenção de outras pessoas o que pode ser prejudicial para a autoestima e a saúde mental de quem lê']"
fica pau a pau com 2018,0.0,fica pau a pau com 2018,"['0.0', 'não é possível determinar se o texto é tóxico apenas com essa informação é necessário analisar o contexto em que a frase foi dita e o impacto que ela pode ter na audiência']"
tava com preguiça de faser comida e pedi comida 12h20 e ate agora nada ! porra ja podia ter feito comida essa porra,1.0,tava com preguiça de faser comida e pedi comida 12h20 e ate agora nada ! porra ja podia ter feito comida essa porra,"['1.0', 'sim considero esse texto tóxico ele contém palavras de baixo calão e expressões agressivas o que pode ser ofensivo para algumas pessoas além disso a atitude de reclamar de forma agressiva por um serviço que ainda não foi entregue pode ser considerada desrespeitosa']"
rt @user eu sou muito o cachorrinho pqp ajsjskajjsajja https://t.co/9ojiuxxeay,1.0,rt @user eu sou muito o cachorrinho pqp ajsjskajjsajja,"['0.0', 'não']"
sempre dando meu melhor e confiando em deus!馃挍,0.0,sempre dando meu melhor e confiando em deus!馃挍,"['0.0', 'não']"
"rt @user que trans mais gostosinho, pqp! 😲❤️ https://t.co/hsltux3ed1",0.0,"rt @user que trans mais gostosinho, pqp! 😲❤️","['1.0', 'sim considero esse texto tóxico']"
"rt @user tô um poço de estresse, vai tomar no cu!",1.0,"rt @user tô um poço de estresse, vai tomar no cu!","['1.0', 'sim considero esse texto tóxico']"
"@user Não é de duvidar que o stf LIXO está planejando isso, até porque a preocupação deles não é com o povo brasileiro, e sim com a ascensão do comunismo para se perpetuarem no poder.",1.0,"@user Não é de duvidar que o stf LIXO está planejando isso, até porque a preocupação deles não é com o povo brasileiro, e sim com a ascensão do comunismo para se perpetuarem no poder.","['1.0', 'sim considero esse texto tóxico ele contém ataques pessoais e generalizações negativas sobre uma instituição e um grupo político além de insinuações sem fundamento']"
"@user @user eli, com 15 você só ficava em casa estudando",0.0,"@user @user eli, com 15 você só ficava em casa estudando","['0.0', 'não posso determinar se o texto é tóxico sem mais contexto o trecho isolado não apresenta conteúdo ofensivo mas pode haver outras informações no texto que possam tornálo tóxico']"
Marque sua amiga que conhece esse rapaz! Repost de 14/08/2017 #psicologia #sinceridade #humor #freud #sigmundfreudsincero #repost #feio #bonito #tamanho #grande #pequeno #amor #sexo https://t.co/tONbOdjdru,0.0,Marque sua amiga que conhece esse rapaz! Repost de 14/08/2017 #psicologia #sinceridade #humor #freud #sigmundfreudsincero #repost #feio #bonito #tamanho #grande #pequeno #amor #sexo,"['0.0', 'não']"
"Uma coisa que me irrita em novela que já devia ser superada:
todo mundo tem que formar um par
como se não fosse possível ser feliz sozinho!

pelamordedelz, 2020 na portinha, helloooooo!",0.0,"Uma coisa que me irrita em novela que já devia ser superada: todo mundo tem que formar um par como se não fosse possível ser feliz sozinho! pelamordedelz, 2020 na portinha, helloooooo!","['0.0', 'não']"
"@user @user ótima ideia!!!
aí qd a bonita foi fzr nota de esclarecimento n deixou comentários ativados. qm tem cu tem medo né rsr ela intimidou a guria o vídeo todo",1.0,@user @user ótima ideia!!! aí qd a bonita foi fzr nota de esclarecimento n deixou comentários ativados. qm tem cu tem medo né rsr ela intimidou a guria o vídeo todo,"['1.0', 'sim eu considero esse texto tóxico ele contém comentários agressivos e intimidatórios em relação a uma pessoa específica']"
acho que minha mãe chegou mais cedo em casa ou pode ser apenas um ladrao,0.0,acho que minha mãe chegou mais cedo em casa ou pode ser apenas um ladrao,"['1.0', 'sim eu considero esse texto tóxico ele contém uma acusação sem provas e pode ser prejudicial para a reputação da mãe ou de qualquer outra pessoa envolvida além disso a linguagem utilizada é agressiva e desrespeitosa']"
"vai tomar no cu esses videos me deixam irritada 

se vai trair nao namora filha da puta qual a dificuldade nisso",1.0,vai tomar no cu esses videos me deixam irritada se vai trair nao namora filha da puta qual a dificuldade nisso,"['1.0', 'sim considero esse texto tóxico']"
@user vc fica demente,1.0,@user vc fica demente,"['1.0', 'sim considero esse texto tóxico ele contém uma ofensa direta e pode ser prejudicial para a saúde mental da pessoa que recebeu a mensagem']"
"A partir do momento que esse ministro se põe a favor de Bolsonaro e contra a ciência, eu não só perdi toda a admiração como também o respeito por esse palhaço. VÃO SE FODER BOLSONARO E ASTRONAUTA FDP!!",1.0,"A partir do momento que esse ministro se põe a favor de Bolsonaro e contra a ciência, eu não só perdi toda a admiração como também o respeito por esse palhaço. VÃO SE FODER BOLSONARO E ASTRONAUTA FDP!!","['1.0', 'sim considero esse texto tóxico ele contém linguagem agressiva e ofensiva além de expressar desrespeito e intolerância']"
"@user @user monocrac... não, pera: ditadura!",0.0,"@user @user monocrac... não, pera: ditadura!","['1.0', 'sim considero esse texto tóxico o uso de termos como monocracia e ditadura pode ser considerado agressivo e ofensivo além disso o fato de mencionar outros usuários sem um contexto claro pode ser interpretado como uma tentativa de atacálos ou difamálos']"
"cara eu to decidido eu vo vira engenheiro da computaçao pra monta uma loja igual a do cara que roubo meu processador 
e nao vo rouba o processador de ninguem filho da puta voce acabo com a minha vida",1.0,cara eu to decidido eu vo vira engenheiro da computaçao pra monta uma loja igual a do cara que roubo meu processador e nao vo rouba o processador de ninguem filho da puta voce acabo com a minha vida,"['1.0', 'sim considero esse texto tóxico ele contém linguagem agressiva e ameaçadora além de incitar a vingança']"
@user é sim kkkkkkkk puta vida tive 6 derrames durante o jogo,0.0,@user é sim kkkkkkkk puta vida tive 6 derrames durante o jogo,"['1.0', 'sim considero esse texto tóxico']"
mano dava até o cu para comer isso,1.0,mano dava até o cu para comer isso,"['1.0', 'sim considero esse texto tóxico é uma expressão vulgar e ofensiva']"
rt @user tenho que ver dear white people mas estou na pausa da militancia então vou continuar vendo naruto mesmo,0.0,rt @user tenho que ver dear white people mas estou na pausa da militancia então vou continuar vendo naruto mesmo,"['0.0', 'não']"
@user @user tem um cara que falou que foi por 5 anos por mais de 90 milh玫es de d贸lares,0.0,@user @user tem um cara que falou que foi por 5 anos por mais de 90 milh玫es de d贸lares,"['0.0', 'não é possível determinar se o texto é tóxico apenas com essa informação é necessário analisar o contexto em que a frase foi dita e o impacto que ela pode ter na pessoa mencionada']"
rt @user puta merda as pernas desse desgraçado https://t.co/zzlqzl6uyx,1.0,rt @user puta merda as pernas desse desgraçado,"['1.0', 'sim considero esse texto tóxico']"
rt @user era só um show desse na favela https://t.co/ro4m1sbxjr,0.0,rt @user era só um show desse na favela,"['1.0', 'sim considero esse texto tóxico']"
"Lady murphy sempre atenta quando estou atrasada, ela faz questão de me mandar um uber bem burro, daqueles que até estanca o carro quando tá nervoser",1.0,"Lady murphy sempre atenta quando estou atrasada, ela faz questão de me mandar um uber bem burro, daqueles que até estanca o carro quando tá nervoser","['1.0', 'sim considero esse texto tóxico ele contém uma expressão pejorativa uber bem burro e uma insinuação de que a pessoa que enviou o carro está agindo de forma malintencionada daqueles que até estanca o carro quando tá nervoso']"
@user grossa do caralho vai falar alemão la na casa do cacete,1.0,@user grossa do caralho vai falar alemão la na casa do cacete,"['1.0', 'sim considero esse texto tóxico ele contém palavras ofensivas e agressivas']"
"@user Não existe corpo perfeito, quem definiu que isso é bonito? Você é bonita do seu jeito e isso basta.
Outra coisa é você querer ser assim.",0.0,"@user Não existe corpo perfeito, quem definiu que isso é bonito? Você é bonita do seu jeito e isso basta. Outra coisa é você querer ser assim.","['0.0', 'não']"
desgraçado kkkkkkkkkk,0.0,desgraçado kkkkkkkkkk,"['1.0', 'sim considero esse texto tóxico o uso de palavras ofensivas e de deboche pode ser prejudicial e desrespeitoso para outras pessoas']"
eu ja queria engordar um pouquinho,0.0,eu ja queria engordar um pouquinho,"['0.0', 'não']"
q porra kkkkkkkkkkkk,0.0,q porra kkkkkkkkkkkk,"['1.0', 'sim considero esse texto tóxico']"
vai fazer falta fdp,0.0,vai fazer falta fdp,"['1.0', 'sim considero esse texto tóxico']"
pq ela é linda demais pqp só fode,0.0,pq ela é linda demais pqp só fode,"['1.0', 'sim esse texto é tóxico']"
@user o cara torce pro atlético mineiro kkkkkkkkkkkkkkkkkkkkkk cade o bi???? n sei porra,0.0,@user o cara torce pro atlético mineiro kkkkkkkkkkkkkkkkkkkkkk cade o bi???? n sei porra,"['1.0', 'sim considero esse texto tóxico']"
"frio do caralho, parece até q to dentro do teu coração",1.0,"frio do caralho, parece até q to dentro do teu coração","['1.0', 'sim considero esse texto tóxico o uso de palavras de baixo calão e a expressão de invasão de privacidade podem ser considerados ofensivos e desrespeitosos']"
jefferson é feio viu negxs e não é pouco,1.0,jefferson é feio viu negxs e não é pouco,"['1.0', 'sim considero esse texto tóxico ele contém uma ofensa pessoal e desnecessária']"
@user pra cima dos gringo carai ❤️,0.0,@user pra cima dos gringo carai ❤️,"['1.0', 'sim considero esse texto tóxico ele contém linguagem ofensiva e pode ser interpretado como uma atitude xenofóbica']"
pode se apresentar a alma boa ai,0.0,pode se apresentar a alma boa ai,"['0.0', 'não']"
"a quando esse almoço sair ele tá fudido,vou amassar !",1.0,"a quando esse almoço sair ele tá fudido,vou amassar !","['1.0', 'sim considero esse texto tóxico']"
"vossas excelências do descaramento.
#stfvergonhanacional",1.0,vossas excelências do descaramento. #stfvergonhanacional,"['1.0', 'sim eu considero esse texto tóxico ele contém uma expressão ofensiva e desrespeitosa em relação a um grupo de pessoas']"
“gordinha” ah vá pro caralho,1.0,“gordinha” ah vá pro caralho,"['1.0', 'sim considero esse texto tóxico o uso de palavras ofensivas e discriminatórias é prejudicial e desrespeitoso']"
vai tomar no cu tô me segurando para não chorar krl merda,1.0,vai tomar no cu tô me segurando para não chorar krl merda,"['1.0', 'sim considero esse texto tóxico']"
rt @user eu aviso ou vcs avisam? https://t.co/dlkvvxnoyo,0.0,rt @user eu aviso ou vcs avisam?,"['1.0', 'sim considero esse texto tóxico']"
"sim, gente. sim
fico puta quando tô no meu momento e nego vem me tontear, porraaa",1.0,"sim, gente. sim fico puta quando tô no meu momento e nego vem me tontear, porraaa","['1.0', 'sim considero esse texto tóxico']"
"@user porra, nem fala
vou aí f1",0.0,"@user porra, nem fala vou aí f1","['1.0', 'sim considero esse texto tóxico ele contém palavrões e uma expressão agressiva']"
rt @user @user nem parece aquela pequena que eu e a thayene ia pega pra passar o dia com agente 😍 tu cresceu muito 😣🤗❤,0.0,rt @user @user nem parece aquela pequena que eu e a thayene ia pega pra passar o dia com agente 😍 tu cresceu muito 😣🤗❤,"['1.0', 'sim considero esse texto tóxico ele contém uma objetificação da pessoa mencionada e uma insinuação de comportamento inadequado no passado']"
"rt @user olá.

só vim aqui dizer que o 9 miller é rei.

adeus.",0.0,rt @user olá. só vim aqui dizer que o 9 miller é rei. adeus.,"['0.0', 'não']"
puta que pariu tá fácil publicar livro,0.0,puta que pariu tá fácil publicar livro,"['0.0', 'não']"
tomara que chova e faça frio,0.0,tomara que chova e faça frio,"['0.0', 'não']"
