instagram_comments,offensive_language,offensiveness_levels,hate_speech
Deus prometeu o crescimento do nosso país e está se cumprindo essa promessa 🙌 GRAÇAS AO NOSSO DEUS QUE COLOCOU VCS PARA GOVERNAR O BRASIL @bolsonarosp 👏🏻👏🏻,0,0,0
Amor platônico só pode aff.. Não fala mais de outra coisa..,0,0,0
A cada dia fico mais admirado com a cara de pau da elite dominante desse mundo até quando irão nos fazer de otários,1,2,-1
👏👏👏👏👏👏👏 Parabens Damares!!!! Você reflete a luz de Deus neste mundo,0,0,0
Melhor ministro da educação! 😍,0,0,0
O sonho não acabou fé em Deus parabéns,0,0,0
Sensacional! 🤗🤗🤗,0,0,0
"Falas irresponsáveis???? Pára, que tá feio D. Joice!! @joicehasselmannoficial 👎🏻👎🏻👎🏻👎🏻 pra você ó 👎🏻👎🏻",0,0,0
Precisamos de união e articulação da esquerda brasileira nesse momento triste do país. Por favor @fernandohaddadoficial promova a união e façam a força!,0,0,0
Futuro presidente em 2022 Fernando haddad,0,0,0
Parabéns! 👏👏👏👏,0,0,0
"Joyce não terá uma vida apolítica longa, não podemos nos enganar mais com ela, é muito ganância por poder, os próprios colegas não confiaram nela.",1,1,-1
2 pessoas que eu amo,0,0,0
"@bolsonarosp o serpente do diabo ,da morte do noblat sempre fala no blog dele tic tac envolvendo vocês",1,2,-1
"Na minha opinião, o nosso Presidente, Jair Bolsonaro, tem que deixar de ser paizão e ser mais Presidente. Tem que fechar a boca dos filhos, que o estão prejudicando.",0,0,0
"E vocês dando munição pra esquerda, ou será que sempre foram e se camuflaram na época da eleição, vestindo a camisa Bolsonaro ?? A inveja mata!",0,0,0
A deputada Benedita meus parabéns pelo seu pronunciamento correto. Essa é verdadeira. 👏👏,0,0,0
"Esse safado deveria roubar só de quem votou nele não era, só que infelizmente quer roubar de todos trabalhadores",1,2,-1
Espero que tenham chamado a POLÍCIA !!!!,0,0,0
Só não está melhor ainda mais por conta do Congresso do STF.,0,0,0
Que Deus a abençoe ministra e lhe dê forças pra continuar fazendo o seu excelente trabalho frente ao ministério.,0,0,0
Nosso presidente,0,0,0
Parabéns 👏👏👏🙏🙏🇧🇷🇧🇷🤔😘😍,0,0,0
Não assisto,0,0,0
Não vale apena ver este marginal e repúdio o que ele fale o lugar dele é a penitenciária.,1,1,-1
"Velha sem vergonha, vagabunda !",1,3,8
A imprensa está podre.,1,3,-1
"Joice tem lutado bravamente para aprovação de projeto de prisão em segunda instância e contra o aumento do fundo eleitoral, coisa que nenhum Bolsonaro tem feito. Sou mais Joice.",0,0,0
"Tu deveria assistir antes de alegar porque nós mulheres cansamos de ser objetificadas, foi justamente por isso estar mudando, que Zozibini Tunzi foi eleita a Miss Universo na noite de ontem. Ela não venceu por ser uma mulher negra, ela venceu porque teve foi a mais compentente. As respostas poderosas, uma história de vida incrível, ela mora em uma das áreas pobres da África do Sul, a comunidade dela vive em uma tribo e tem um próprio idioma. Ela já tentou o Miss África do Sul em 2017 e foi negada, e voltou esse ano, e ganhou. Ela sinônimo de luta, resistência e perseverança. Por isso ela ganhou. Assim como outras também, maravilhosas mereciam. Sabia que nesse ano tivemos uma Irlandesa, negra, afrodescendente, que é pesquisadora da Nasa? Pois bem, são mulheres assim que esses concursos estão nos fazendo conhecer.",0,0,0
@tatyara_soares @calilelopes @geralda.lu @moto.resgate.voluntario olha que coisa linda 😍,0,0,0
"Certo, só que Cristina é tudo, menos de eaquerda, sem falar que é super corrupta. Não sei quem é pior, Macri, ela ou Bostonaro.",1,1,-1
"Estou impressionada, ouvi um pequeno trecho da Hora do Brasil e parecia a imprensa esquerdista: só falaram mal do Presidente! Relataram as opiniões de vários políticos petistas, todos criticando imensamente tudo! Quem controla a imprensa oficial? É a Rede Globo, a Veja? Porque não diferiu em nada! Fiquei boquiaberta! Foi hoje!",0,0,0
Lindooos ❤️ Por dentro e por fora.,0,0,0
Sifuuuuuuu #globolixo,1,2,-1
Saudades de Haddad,0,0,0
Isso é um endemoniado dos infernos,1,1,-1
se tem foto tem video,0,0,0
Amei ela ter cabelo curto. Fim do estereótipo do cabelão chapado. Isso representa muito. Pra auto estima de muitas meninas.,0,0,0
Grandes 💩💩💩isso,0,0,0
Maravilhoso! ♥️,0,0,0
Parabéns...muita honra ter um quadro ao lado do mestre PAulo Freire👏👏👏,0,0,0
Voltando pra minha caverna bom dia.,0,0,0
Maldosa heim kkkkk😂,1,2,-1
"Será,,Kkkk,,,,vcs mentem tanto mais tanto,,,,,parabéns Bolsonaro senta lenha",1,3,-1
Muito lindo,0,0,0
"Lindaça a miss universo, parabéns!👸🏿🌺🌺🌺👏🏼👏🏼👏🏼👏🏼😚😍",0,0,0
Porque essa pirralha não bate de frente com o presidente MACARRÃO da França??,1,1,-1
Querooooooo,0,0,0
"Que esse coronelzinho seja responsabilizado e devidamente penalizado. Criatura desprezível, coronel de 💩.",1,3,-1
Q Coiso mais imunda!!!!,1,3,-1
Parabéns Benedita🙌😍👏👏👏,0,0,0
Agora!!!!,0,0,0
globo lixo não cansa de passar vergonha,1,1,-1
Parabéns pelo Luta guerreiros💪💪💪🌟🌟🌟😇😇😇🌹🌹🌹,0,0,0
😂😂 Ela é galinha! Pena?! Q é isso!?,1,1,8
Dois lindos na parede😍,0,0,0
Ficou claro pra quem ele governa?,0,0,0
Esses homens de Deu$...😢😢😢😢😢,0,0,0
KD as mídias que defendem a mulher lá o ativismo na verdade só é válido quando e da turma petralha,1,3,5
Bandidos.,1,2,-1
"Gostaria de saber que mal tem na fala dele, concordo com ele se preciso for mete um AI-5 e prende todos ..só quem deve temerá.",0,0,0
Esclerosado!,1,2,-1
"Essa ridícula aí, tinha que pedir desculpa ao nosso presidente",1,2,-1
"Galera, primeiro que não é a Joice que comenta, é a assessoria dela. Duvido que ela tenha tempo pra isso. Segundo, a pirralha é altista e, tanto pais quanto militantes estão se aproveitando dela. Detalhe: ela mora num país que é o primeiro em IDH. Vocês acham mesmo que ela conhece a Amazônia? Só falta ela falar em defesa das tanajuras com câncer. Ela não representa nada, mas a revista, com seu viz, pelo jeito quer o prêmio.",0,0,0
👏👏👏🇧🇷🇧🇷🇧🇷Avante Brasil 🇧🇷 Deus abençoe esta nação,0,0,0
Coisa linda!!!!!,0,0,0
Adoro essa menina!,0,0,0
Se gritar pega ladrão na frente do congresso até a estrutura física muda de lugar exceto alguns Zanbelli...,1,2,-1
"Ledinha melhor reporter,de todos os tempos.",0,0,0
Teria o maior prazer e apertar sua mão,0,0,0
Ele não e uma mulher negra ela e uma linda mulher por favor vamos valorizar as mulheres em vez de segregar sei que existe preconceito esses tipo de comentário fortalece as diferenças,0,0,0
#globolixo,1,1,-1
"Então os jornalistas, a folha a Globo vão ser todos punidos??",0,0,0
"Que absurdo estamos vivendo no Brasil! Eu pergunto: não dá para processar esses idiotas por ofensa a moral de uma Ministra? Esperimenta xingar um funcionário público de qualquer porcaria de repartição pública, para ver onde vc vai parar! Então porque não se faz nada quando ofendem o Presidente ou qualquer dos seus auxiliares? Como podemos aceitar isso?",1,2,-1
Já sabe que a esquerda toda vai presa né.,1,2,5
Essa dupla ❤️,0,0,0
"Argentina é top, fui lá e gostei muito, gostaria de morar perto da fronteira do Brasil, na Argentina",0,0,0
Condenação para esse pilantra,1,2,-1
Que legal! 👏👏,0,0,0
#Globolixo 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,1,2,-1
"Deus da misericórdia, livrai-nos desse mal!!! Eu não mereço nem ouvir a voz dele. Senhor tende piedade de nós!!!O cara enlouqueceu, a sede de poder dele, já matou muita gente!!!",1,3,-1
😢😢🍊🍊👏👏maldito,1,3,-1
Isso é História! Obrigada Deputado Eduardo Bolsonaro!🇧🇷🇧🇷🇧🇷,0,0,0
Sim ao professor sempre😍,0,0,0
O povo merece!,0,0,0
"Coitadinha, ninguém liga pra ela",1,2,-1
"Uma é traíra, a outra inejosa",1,1,-1
Porque é uma bandida,1,2,-1
Bandido gay enrustido! Pedófilo de merda!,1,2,4
Essa menina sozinha ta fazendo mais que uma nação. 👏👏👏👏❤️,0,0,0
Meu presidente 💕,0,0,0
Me diga com quem tu andas e direi quem tu és! 🇧🇷,0,0,0
Devolve o dinheiro roubado via OAS...,1,1,-1
Velho nojento,1,1,-1
"Que vergonha meu DEUS. A p, a falta de respeito vem de grande parte de péssimos que se dizem representantes do povo. Onde chegaremos, 🙏",0,0,0
#globolixo,1,1,-1
"🤝 Tô só na espera de votar no Haddad presidente outra vez, eu e meu nordeste, meu Maranhão.🤝",0,0,0
Ridículo....Velho babao,1,2,-1
Familicia destruindo os direitos do trabalhador...,1,2,5
"Queridos irmãos brasileiros, ninguém vai embora da Argentina porque a esperança está voltando para o meu país. Não é a esquerda que volta, é a esperança! E se fosse a esquerda seria muito melhor do que estamos vivendo agora! 4 anos de Macri já foram suficientes.",0,0,0
Imunda,1,2,-1
"Quando a gente acha que uma pessoa não consegue ser mais zé ruéla do que já é, vem o cara e se supera.",1,3,-1
Pão❤️,0,0,0
"Parabéns, Prof. Fernando. Parabéns às educadoras e aos educadores do Brasil, incansáveis no ofício de ensinar.",0,0,0
Todos bandidos.,1,3,-1
"Muito triste ver uma pessoa,que desempenha seu trabalho com garra ,coragem e muito profissionalismo,ser atacada dessa maneira!Será que,essa figura torpe,que se diz jornalista,não pensou que atacando uma mulher,com palavras tão desprezíveis,estava atacando todas!Como diz à Ministra Damares,é ridículo,é feio,é chocante!Muda Brasil!🇧🇷🇧🇷🇧🇷🇧🇷",0,0,0
"A @ledanagleoficial é, para mim, a melhor entrevistadora do Brasil",0,0,0
"Bolsonaro tem razão , essa Greta é uma pirralha mimada",1,1,-1
Meu Presidente Favorito!!! 💖💖💖,0,0,0
Ansiso pra ver atrás das grades!,1,3,-1
O sul ja ta um lixo com o fascista do eduardo leite,1,1,5
Esse vídeo foi de 2016 esse imbecil fez isso e só falaram agora ?,1,3,-1
Porque é suja e adora dinheiro alheio,1,1,-1
Muito legal👏👏👏,0,0,0
"Difícil é saber quem conversa mais bobagem, você ou Dudu!!",0,0,0
Palavras de um líder religioso... que prega os valores cristãos.... ?!?! 😓,0,0,0
Parabéns professor! Merecido.🙌🙌,0,0,0
"Bom dia Carla.comentei na sua pagina,sobre está tal de Bachelet,mas escrevi sem apontuação ficou um tanto esquesito,escrevi 👏👏👏 carla musa do psl,ai veio o meu comentario,descupa sou teu fá.",0,0,0
"Pq nao vai trabalhar de verdade e para de querer puxar o tapete dos outros? Fica na sua e trabalhe, no final mostre seu trabalho e nada mais... odio nao vai te levar a nada...",1,2,-1
Eles são canalhas.. Covardes.. Destruíram nosso país.. Nos roubaram descaradamente.. Não se importam nem um pouco com nossa nação.. Apenas buscam seus próprios interesses e são doentes pelo poder.. Querem estar no controle.. Querem o poder a qualquer custo!.. Nós não recuaremos.. Nós venceremos!.. E eles serão envergonhados!... 🇧🇷🇧🇷,1,1,-1
A TIME tb é mídia manipulada e dirigida por GRANA!,1,1,-1
Que corrupto chato,1,1,-1
bozo pesadelo do pobre TRABALHADOR!@!!,1,2,5
"Professor Haddad @fernandohaddadoficial o senhor foi um dos únicos ministro que investiu em educação no nosso estado, infelizmente hoje estamos sofrendo com este descaso, com o sucateamento do ensino público!! Me lembro nas eleições que todos tiravam fotos em frente a sua plaquinha de cada escola que você inaugurava!! Tava na cara que você ganhando as eleições sua prioridade seria a educação do nosso país!!! Mais que merecido!! 👏👏👏👏",0,0,0
Amei .,0,0,0
Emocionante!!!!!!,0,0,0
Isso é um imbecil!,1,1,-1
Por isso que eu falo que só tem bandido nesse congresso e senado,1,3,-1
Parabéns! Muito merecido!,0,0,0
"💙💙💙💙 meu presidente , pena que não ganhou💙💋",0,0,0
Vc e Greta podia fazer uma dupla safaneja( Greta e Ingragrata) com a musica de lançamento Burrici pouca é bobagem,1,1,-1
Boa professor 😉,0,0,0
Misericórdia . Deus,0,0,0
"Deputada o tapa foi na cara de todos nós que sendo pardos, brancos,índios,etc estrangeiras ou não sentimos a mesma dor,essa violência atingiu toda humanidade que tem respeito e dignidade.",0,0,0
Cada dia uma nova decepção com esse presidente. Até quando? 🙄🙄🙄🙄,0,0,0
Belíssima 👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾,0,0,0
Janaína votei em você pra que você ajudasse o governo.,0,0,0
Excelente,0,0,0
Se unem a favor do Brasil... vê se a esquerda fica um contra o outro. Eles se unem... pense nisso,0,0,0
"A liberação dele é justa por estarmos seguindo o que prevê a constituição. A maioria concorda com isso, assim como a maioria concorda que foi justa a sua condenação, inclusive já julgado inúmeros recursos em terceira instância. Sua liberdade até que finalize o trânsito e julgado não descarta todas as suas condenações e comprovações de crime. São aspectos diferentes, frutos de uma aberração jurídica no nosso país que a maioria espera que seja consertada com a PEC da prisão após segunda instância.",0,0,0
É complicado o desmame dessa turma da esquerda. Se acostumaram com a grana fácil desviada dos cofres públicos e agora esperneiam com a seca total.,1,3,5
"E uma chita ela né! Opssss, uma chata.",1,2,6
Pois é 🤔,0,0,0
Por causa deles vai dar merda em 2022 🤦🏼‍♂️,1,2,-1
Os paraibanos tem muito orgulho de você Ricardo Coutinho,0,0,0
"@joicehasselmannoficial Antes eu tinha orgulho de vc Joyce mas hoje vejo q vc não passa de uma criança mimada q perdeu seu brinquedo , esse menina mimada q nunca soube o q a pobreza só vive ostentando pelo mundo , e vc faz questão de postar e sabe os ideias dela q não são de direita , posta sobre o décimo terceiro do bolsa família q foi liberado por @jairmessiasbolsonaro Bolsonaro aí invez de vc está fazendo picuinhas pq vc não postas suas coisas não a dos outros , o efeito Bolsonaro te elegeu e hoje vc acha q foi por seus méritos como os outros !!!!",1,1,-1
A esquerda vai tira o cavalinho da chuva kkkkkj,0,0,0
São uns Malditos que só pensam no bolso deles e que os Pobres e os Discriminados pela sociedade cruel continuem nas mãos deles. Comunistas do Inferno! 😢😢😢,1,2,5
Palavriado e atitudes bem adequadas a um pastor. Jagunço cafajeste!,1,2,-1
Muito bom! Orgulho!,0,0,0
👏👏A saúde do planeta é urgente!,0,0,0
Vou assistir!,0,0,0
Safada😡,1,2,8
Nossa não gosto nem de escutar isso,0,0,0
Fdup,1,2,-1
Merecido!!,0,0,0
"Nao defendo o Bolsonaro, mas a verdade seja dita. Quem faz lei é o legislativo, o presidente, mesmo se vetar ainda poder ser sancionada pelos deputados.",0,0,0
Inacreditável!,0,0,0
"e o Dólar a 4,19?! hummm Dilma já saiu..",0,0,0
Fica quieta joice tá feio ja,1,3,-1
Parabéns Benedita!!❤️,0,0,0
#pepapig,1,1,3
Queiroz livre? Queiroz guerreiro do povo brasileiro👉👉😂😂😂😂😂 A ESQUERDALHA É PODRE,1,2,5
"Parabéns, PROFESSOR!!!!👏👏👏",0,0,0
"Esse verme do lula é um monstro,quem é ele pra ousar a pronunciar o nome do Juiz @sergiomoroo @jairmessiasbolsonaro @rosangelawmoro verme ele só quer discórdia,guerra,sangue..Quando esse verme,rato de esgoto volta pro lugar que ele tem que apodrecer..Isso solto é um perigo pra sociedade..",1,2,-1
"Disse TUDO minha deputada federal, NÃO podemos deixar desses jagunços vencerem, independente de raça e credo todos perderemos.",1,1,-1
Quem financia? Já sabemos,0,0,0
Esse traste pensa que o Brasil é o quintal da casa dele. Aff!,1,1,-1
Cadê as forças armadas!!!!!Socorro!!!!!,1,1,2
Isto mesmo. Esses filhos do Sr. Presidente deveriam ficar mais falados. Vão colocar tudo a perder. Uma lástima.,0,0,0
Quem falou isso pra vc deputada? O sergio moro ta aprovado pela maioria dos brasileiros,0,0,0
"Pirralha é o feminino de pirralho. O mesmo que: bambina, menina.",1,1,-1
Isso é um escroto. Velho safado.🤮,1,2,-1
Tá repreendido seu Lula demônio.,1,3,-1
Tão lindoo,0,0,0
Demais👍🙌👏👏,0,0,0
Perfeitos ah 💚,0,0,0
"A Visão do Inferno, a besta e a bestinha😂😂",1,3,-1
Parabéns grande mestre👏👏👏👏👏👏👏👏👏🌻,0,0,0
Esse sr deveria ser preso.,1,3,-1
Lindo😘 e esses baixinhos😚😚😚,0,0,0
O Brasil está no caminho certo! Parabéns presidente Bolsonaro parabéns a todas as equipes de ministros que compõem a sua equipe!!👏🏼👏🏼👏🏼,0,0,0
Tanto escândalo por causa de uma palavra. Está faltando dicionário pra esse povo.,0,0,0
Somos todos Damares,0,0,0
Lamentável tudo isso. Se a vontade é servir o País e mudar a realidade do povo.,0,0,0
É Pirralha mesmo...,1,1,-1
Emocionante! Finalmente uma boa notícia em um mundo que tá ficando tão bizarro! Parabéns!,0,0,0
Lugar de ladrão é na cadeia Lula bandido,1,1,-1
Tamo junto,0,0,0
Escroto!,1,1,-1
O Congresso mostrando de que lado esta. dos bandidos.,1,2,-1
"Qualquer ser com um mínimo de intelectualidade pode falar sobre mudanças climáticas e impactos no mundo ainda mais com um discurso escrito previamente. Só mídia e papo furado, essa menina não sabe nem fazer um pão com ovo na chapa mas é personalidade do ano, fala sério!",1,1,-1
Conversa pra boi 🐄 dormir!,1,1,-1
Pra frente Brasil 🇧🇷 contra os corruptos e bandidos de toga,1,3,-1
Acertivo!,0,0,0
"Só quero ver a cara de vocês, quando sairem dessa bolha. Hipócritas.",1,3,-1
Tem que processar esses vagabundos. Não pode ficar só no embate. É processo e pronto,1,2,-1
Querido!!!! Você merece!!!! 📘📑📑🎸🎸🎸🎸💓💓💓🎓🎓🎓🏆🏆🏆🏆👏👏👏👏👏👏👏👏👏👏👏👏,0,0,0
Cada dia se queimando mais,0,0,0
Concordo plenamente,0,0,0
Essa maricona safada 🙄🙄🙄,1,1,4
Muito obrigada por ter essa voz para com o povo negro desse país . Dos meus olhos saíram lágrimas .,0,0,0
Votei. Voto. Votarei. Esse é o presidente que sonho para o país.,0,0,0
Sem vergonha trate do seu País o nosso temos Bolsonaro@,1,2,-1
Kkkkkkkkkkkkkkkkkkkkkkkkkkk Pepinhaaaa,1,2,3
"Os números da economia está mostrando o crescimento, aliás surpreendeu até a equipe do ministério da economia, vamos em frente👏🇧🇷",0,0,0
Fdp,1,3,-1
"👏👏👏👏👏👏👏👏 o @lulaoficial tá livre e os #bolsominionsidiotas estão desesperados 😂😂😂😂😂😂😂 Você já ouviu falar do CAGÔMETRO?? 🤔🧐 O Bozonaro é chique demais, ele já tem até um contador de cagadas pra registrar as merdas dele em um site na internet 😂😂😂😂😂 lá você vai encontrar tudo sobre o Laranjal do #psl 🍊🍊🍊🍊🍊🍊🍊🍊💩💩💩💩💩💩💩👇👇👇👇👇👇👇 👉 http://www.cagometro.com/ 👈",1,3,5
São os canalhas de SEMPRE,1,2,-1
Um horror esse Ser traidor de uma Nação por arrogância e egocentrismo🤮😡,1,3,-1
"👏👏👏👏 Deus está do nosso lado, com certeza!",0,0,0
Eles fazem perguntas capiciosas e ele cai feito.um.bebe..,0,0,0
"Pqp , comunista fdp",1,1,5
É o colégio militar dos bombeiros.,0,0,0
"O MU deixou de ser apenas um concurso de beleza desde que saiu das mãos de Donald Trump, Manu. As misses precisam ser bastante engajadas em projetos sociais e assumem o compromisso de dedicar o ano de reinado a causas humanitárias. Além disso, as juradas (não tem mais juradOs) não são mais tão exigentes com medidas. Quanto mais carismática, empoderada, comunicativa e ativista a miss for, maiores são as chances dela levar a coroa. Nossa Miss Brasil @juliahorta é uma feminista super militante, atuante, de nos encher de orgulho.",0,0,0
Esse bolsolixo é um canalha....,1,3,5
Maravilha parabens,0,0,0
Governo sem pulso !! Frouxos !!,1,1,-1
Moro Limpou Num Bumbum de Temer Aécio e Bolsonaro,1,2,-1
#foracomunismosocialismo🤬😠😡👊👊👊,1,1,5
